feature,n_group1,n_group2,t_statistic,p_value,cohens_d,mean_diff,ci_lower,ci_upper,p_fdr_10,p_bonf_within
Between_network_Dispersion,72,68,-2.442,0.0159,-0.4129,-0.0366,-0.0662,-0.007,0.0295,
Global_Dispersion,72,68,-2.958,0.0036,-0.5002,-0.0866,-0.1444,-0.0287,0.0269,
Between_network_Dispersion_Left,72,68,-1.4956,0.137,-0.2529,-0.0398,-0.0924,0.0128,0.137,
Global_Dispersion_Left,72,68,-1.7745,0.0782,-0.3001,-0.0742,-0.1568,0.0085,0.0869,
Dispersion_N1,72,68,-2.4004,0.0177,-0.4059,-0.0569,-0.1038,-0.01,0.0295,0.124
Dispersion_N2,72,68,-1.9276,0.056,-0.326,-0.0591,-0.1197,0.0015,,0.3917
Dispersion_N3,72,68,-1.8515,0.0662,-0.3131,-0.0591,-0.1222,0.004,,0.4636
Dispersion_N4,72,68,-2.4636,0.015,-0.4166,-0.0698,-0.1259,-0.0138,0.0295,0.1049
Dispersion_N5,72,68,-2.5061,0.0134,-0.4238,-0.0663,-0.1186,-0.014,0.0295,0.0936
Dispersion_N6,72,68,-2.8277,0.0054,-0.4782,-0.069,-0.1173,-0.0208,0.0269,0.0377
Dispersion_N7,72,68,-1.8122,0.0721,-0.3064,-0.0503,-0.1051,0.0046,,0.505
Dispersion_N1_Left,72,68,-1.4203,0.1578,-0.2402,-0.057,-0.1363,0.0223,,1.0
Dispersion_N2_Left,72,68,-1.5169,0.1316,-0.2565,-0.0684,-0.1575,0.0207,,0.921
Dispersion_N3_Left,72,68,-1.2364,0.2184,-0.2091,-0.0538,-0.14,0.0323,,1.0
Dispersion_N4_Left,72,68,-1.7456,0.0831,-0.2952,-0.0783,-0.1671,0.0104,,0.5818
Dispersion_N5_Left,72,68,-1.5332,0.1275,-0.2593,-0.0623,-0.1425,0.018,,0.8926
Dispersion_N6_Left,72,68,-1.7845,0.0765,-0.3018,-0.066,-0.1391,0.0071,,0.5358
Dispersion_N7_Left,72,68,-1.6101,0.1097,-0.2723,-0.0587,-0.1308,0.0134,,0.7676
Global_dispersion_G1,72,68,-2.1076,0.0369,-0.3564,-0.0573,-0.111,-0.0035,0.0461,
Global_dispersion_G2,72,68,-2.1093,0.0367,-0.3567,-0.0299,-0.0579,-0.0019,0.0461,
Within_network_dispersion_N6_G1,72,68,-2.0692,0.0404,-0.3499,-0.0468,-0.0916,-0.0021,,
Within_network_dispersion_N6_G2,72,68,-2.0497,0.0423,-0.3466,-0.026,-0.051,-0.0009,,
